,index,name,prompt_name,input,continuations,correct_answer,is_consistent,is_nonsense,is_realistic,logprobs,multiple_choice_grade,human_matched_logprobs,human_matched_multiple_choice_grade
32,32,-308199501963705876,Human-like,"If Japan is bigger than America, then America is ","['smaller than Japan', 'bigger than Japan']",['smaller than Japan'],False,False,True,[-2.2829237  -4.80168772],True,[-0.82924521 -3.84155178],True
33,33,5443249373229609198,Human-like,"If Japan is smaller than America, then America is ","['bigger than Japan', 'smaller than Japan']",['bigger than Japan'],True,False,True,[-3.5397439  -5.42931938],True,[-0.8864103 -5.0182085],True
34,34,7083483013736700465,Human-like,"If ants are prettier than butterflies, then butterflies are ","['uglier than ants', 'prettier than ants']",['uglier than ants'],False,False,True,[-2.86456013 -4.25076246],True,[-1.12016916 -3.63482451],True
35,35,3138367768686163428,Human-like,"If ants are uglier than butterflies, then butterflies are ","['prettier than ants', 'uglier than ants']",['prettier than ants'],True,False,True,[-3.66607261 -4.63659716],True,[-1.02240026 -4.66080189],True
36,36,-6470664818760543412,Human-like,"If rain is colder than snow, then snow is ","['hotter than rain', 'colder than rain']",['hotter than rain'],False,False,True,[-4.25517988 -4.33058739],True,[-1.22970009 -2.22904325],True
37,37,-2554502362075861647,Human-like,"If rain is hotter than snow, then snow is ","['colder than rain', 'hotter than rain']",['colder than rain'],True,False,True,[-2.5649209  -6.88389921],True,[-0.80476981 -4.07361221],True
38,38,-6833689532122239617,Human-like,"If shrubs are taller than trees, then trees are ","['shorter than shrubs', 'taller than shrubs']",['shorter than shrubs'],False,False,True,[-2.58440685 -5.90319872],True,[-0.88038892 -4.01915932],True
39,39,1438293165302359880,Human-like,"If shrubs are shorter than trees, then trees are ","['taller than shrubs', 'shorter than shrubs']",['taller than shrubs'],True,False,True,[-3.20159101 -4.73216629],True,[-0.88489228 -5.04247332],True
40,40,3852063665562164200,Human-like,"If water is colder than ice, then ice is ","['hotter than water', 'colder than water']",['hotter than water'],False,False,True,[-4.05207443 -3.59749985],False,[-1.4024092  -1.77578807],True
41,41,-6721261362112549944,Human-like,"If water is hotter than ice, then ice is ","['colder than water', 'hotter than water']",['colder than water'],True,False,True,[-2.77855492 -6.59237242],True,[-0.88435072 -3.40231371],True
42,42,-8212542471904829904,Human-like,"If hills are higher than mountains, then mountains are ","['shorter than hills', 'higher than hills']",['shorter than hills'],False,False,True,[-6.40075874 -4.38335371],False,[-1.03924108 -2.79319167],True
43,43,-6191369592476343321,Human-like,"If hills are shorter than mountains, then mountains are ","['higher than hills', 'shorter than hills']",['higher than hills'],True,False,True,[-5.85424805 -4.92086887],False,[-0.82341391 -4.71411324],True
44,44,1835079163446477472,Human-like,"If children are bigger than adults, then adults are ","['smaller than children', 'bigger than children']",['smaller than children'],False,False,True,[-2.31242537 -3.77604795],True,[-0.87946862 -3.64155769],True
45,45,-7972743269194599296,Human-like,"If children are smaller than adults, then adults are ","['bigger than children', 'smaller than children']",['bigger than children'],True,False,True,[-3.56313753 -4.24395943],True,[-0.81454992 -5.83302402],True
46,46,-809109503967777128,Human-like,"If snakes are less scary than lizards, then lizards are ","['less scary than snakes', 'less scary than snakes']",['less scary than snakes'],False,False,True,[-5.37042618 -5.37042618],True,[-1.85545838 -1.85545838],True
47,47,-809109503967777128,Human-like,"If snakes are less scary than lizards, then lizards are ","['less scary than snakes', 'less scary than snakes']",['less scary than snakes'],True,False,True,[-5.37042618 -5.37042618],True,[-1.85545838 -1.85545838],True
48,48,8573774736638981572,Human-like,"If turtles are faster than wolves, then wolves are ","['slower than turtles', 'faster than turtles']",['slower than turtles'],False,False,True,[-1.83378541 -5.17193556],True,[-0.89420778 -3.658916  ],True
49,49,7120674138915473687,Human-like,"If turtles are slower than wolves, then wolves are ","['faster than turtles', 'slower than turtles']",['faster than turtles'],True,False,True,[-2.41743159 -5.28451157],True,[-1.03566587 -4.4279356 ],True
50,50,-1845346098479525325,Human-like,"If winter is hotter than summer, then summer is ","['colder than winter', 'hotter than winter']",['colder than winter'],False,False,True,[-2.73827839 -5.90235996],True,[-0.89760512 -3.30786991],True
51,51,7531659882959321556,Human-like,"If winter is colder than summer, then summer is ","['hotter than winter', 'colder than winter']",['hotter than winter'],True,False,True,[-5.57958508 -4.7137537 ],False,[-0.76897645 -5.46292162],True
52,52,2462379629116637564,Human-like,"If leaves are heavier than books, then books are ","['lighter than leaves', 'heavier than leaves']",['lighter than leaves'],False,False,True,[-2.33886552 -4.67338419],True,[-0.86606276 -3.51381207],True
53,53,-8483375550141420446,Human-like,"If leaves are lighter than books, then books are ","['heavier than leaves', 'lighter than leaves']",['heavier than leaves'],True,False,True,[-2.80971098 -4.85113811],True,[-0.87356657 -7.03998947],True
54,54,8830430510356611025,Human-like,"If broccoli is sweeter than candy, then candy is ","['less sweet than broccoli', 'sweeter than broccoli']",['less sweet than broccoli'],False,False,True,[-4.83362246 -4.61828613],False,[-0.85268879 -4.12329531],True
55,55,-4745115924433912458,Human-like,"If broccoli is less sweet than candy, then candy is ","['sweeter than broccoli', 'less sweet than broccoli']",['sweeter than broccoli'],True,False,True,[-4.31531477 -5.21309662],True,[-0.98351771 -5.75276947],True
56,56,5779881308334683209,Human-like,"If trees are taller than skyscrapers, then skyscrapers are ","['shorter than trees', 'taller than trees']",['shorter than trees'],False,False,True,[-2.74973273 -5.53476858],True,[-0.74823713 -4.76408052],True
57,57,-3517692489633643134,Human-like,"If trees are shorter than skyscrapers, then skyscrapers are ","['taller than trees', 'shorter than trees']",['taller than trees'],True,False,True,[-2.88959026 -4.81319094],True,[-0.90447652 -4.16157055],True
58,58,-128248488312184144,Human-like,"If water is more dry than wet, then water is ","['less wet than dry', 'more wet than dry']",['less wet than dry'],False,False,True,[-5.46018219 -3.87154126],False,[-1.78201532 -1.91474533],True
59,59,-582045587618788193,Human-like,"If dry is less wet than water, then water is ","['more wet than dry', 'less wet than dry']",['more wet than dry'],True,False,True,[-4.63132286 -6.11572266],True,[-1.10305119 -4.8684535 ],True
60,60,-7099903103059874015,Human-like,"If ice is more hot than fire, then fire is ","['less hot than ice', 'more hot than ice']",['less hot than ice'],False,False,True,[-4.73632574 -5.13278198],True,[-1.12190819 -3.12572455],True
61,61,4108633914967051091,Human-like,"If ice is less hot than fire, then fire is ","['more hot than ice', 'less hot than ice']",['more hot than ice'],True,False,True,[-4.49941349 -5.30469942],True,[-1.14286864 -4.40894127],True
62,62,-1776350586914772659,Human-like,"If paper is harder than wood, then wood is ","['softer than paper', 'harder than paper']",['softer than paper'],False,False,True,[-2.88856483 -7.445014  ],True,[-0.84134442 -4.12917519],True
63,63,8332264589054151229,Human-like,"If paper is softer than wood, then wood is ","['harder than paper', 'softer than paper']",['harder than paper'],True,False,True,[-3.7700603  -5.42918634],True,[-0.80233109 -4.70617199],True
64,64,6287239990248545280,Human-like,"If daisies are more beautiful than roses, then roses are ","['less beautiful than daisies', 'more beautiful than daisies']",['less beautiful than daisies'],False,False,True,[-2.80119085 -3.97842073],True,[-0.81661254 -5.10666275],True
65,65,-5428066310799666873,Human-like,"If daisies are less beautiful than roses, then roses are ","['more beautiful than daisies', 'less beautiful than daisies']",['more beautiful than daisies'],True,False,True,[-2.32426596 -4.46283817],True,[-0.87990677 -5.830791  ],True
66,66,956642921111157991,Human-like,"If snakes are slimier than lizards, then lizards are ","['drier than snakes', 'slimier than snakes']",['drier than snakes'],False,False,True,[-8.68625069 -5.07889414],False,[-0.87791294 -6.25691175],True
67,67,-3295567600962504739,Human-like,"If snakes are drier than lizards, then lizards are ","['slimier than snakes', 'drier than snakes']",['slimier than snakes'],True,False,True,[-10.80035782  -6.06811047],False,[-1.71906972 -2.84826255],True
68,68,-4323148829744575804,Human-like,"If rain is louder than thunder, then thunder is ","['quieter than rain', 'louder than rain']",['quieter than rain'],False,False,True,[-3.01096177 -4.51020908],True,[-1.20940459 -3.72656059],True
69,69,-6460876195130366937,Human-like,"If rain is quieter than thunder, then thunder is ","['louder than rain', 'quieter than rain']",['louder than rain'],True,False,True,[-2.99917579 -5.02162075],True,[-1.02302253 -5.90519667],True
70,70,2692349286841468603,Human-like,"If librarians are funnier than clowns, then clowns are ","['less funny than librarians', 'funnier than librarians']",['less funny than librarians'],False,False,True,[-3.98741627 -4.35205936],True,[-0.90957767 -4.32710552],True
71,71,-2352716056817615860,Human-like,"If librarians are less funny than clowns, then clowns are ","['funnier than librarians', 'less funny than librarians']",['funnier than librarians'],True,False,True,[-3.4454813  -6.24527359],True,[-1.23887372 -5.00223732],True
72,72,7191114153803895042,Human-like,"If dogs are slower than hens, then hens are ","['faster than dogs', 'slower than dogs']",['faster than dogs'],False,False,True,[-2.41856647 -5.24380779],True,[-1.01315188 -4.01774406],True
73,73,-842568114272974300,Human-like,"If dogs are faster than hens, then hens are ","['slower than dogs', 'faster than dogs']",['slower than dogs'],True,False,True,[-1.74820387 -5.64969349],True,[-0.83047992 -4.33972073],True
74,74,-1518451771095184170,Human-like,"If cars are cuter than dogs, then dogs are ","['less cute than cars', 'cuter than cars']",['less cute than cars'],False,False,True,[-4.44607306 -4.5523057 ],True,[-0.87842906 -5.63672018],True
75,75,-8406027912489967336,Human-like,"If cars are less cute than dogs, then dogs are ","['cuter than cars', 'less cute than cars']",['cuter than cars'],True,False,True,[-4.40843391 -5.40457869],True,[-0.85517174 -4.77057838],True
76,76,-5610672808844763765,Human-like,"If snow is fluffier than clouds, then clouds are ","['less fluffy than snow', 'fluffier than snow']",['less fluffy than snow'],False,False,True,[-4.94095516 -4.4488492 ],False,[-1.05664766 -6.32966232],True
77,77,6848649372795317416,Human-like,"If snow are less fluffy than clouds, then clouds are ","['fluffier than snow', 'less fluffy than snow']",['fluffier than snow'],True,False,True,[-3.0975709  -5.49233341],True,[-1.3372339  -4.23181009],True
78,78,7432079362499549751,Human-like,"If roses are more hairy than spiders, then spiders are ","['less hairy than roses', 'more hairy than roses']",['less hairy than roses'],False,False,True,[-2.62166619 -4.95578909],True,[-0.97060657 -3.99676585],True
79,79,-18196839459812143,Human-like,"If roses are less hairy than spiders, then spiders are ","['more hairy than roses', 'less hairy than roses']",['more hairy than roses'],True,False,True,[-3.45651269 -5.24710178],True,[-1.06144297 -5.21762466],True
80,80,3280345861631980905,Human-like,"If roses are bigger than apples, then apples are ","['smaller than roses', 'bigger than roses']",['smaller than roses'],False,False,True,[-1.95702744 -4.47887135],True,[-0.81173456 -4.20163774],True
81,81,319768797909182233,Human-like,"If roses are smaller than apples, then apples are ","['bigger than roses', 'smaller than roses']",['bigger than roses'],True,False,True,[-2.93657064 -5.02770138],True,[-0.84438115 -5.23664284],True
82,82,764481124054535208,Human-like,"If dogs are smaller than cats, then cats are ","['bigger than dogs', 'smaller than dogs']",['bigger than dogs'],False,False,True,[-2.74311852 -4.32381535],True,[-0.81842011 -5.46012068],True
83,83,-7903782303914014183,Human-like,"If dogs are bigger than cats, then cats are ","['smaller than dogs', 'bigger than dogs']",['smaller than dogs'],True,False,True,[-2.31229019 -5.14388084],True,[-0.81736642 -4.08696985],True
84,84,8935089261010854539,Human-like,"If squares are rounder than balls, then balls are ","['less round than squares', 'rounder than squares']",['less round than squares'],False,False,True,[-5.85578918 -4.95473003],False,[-1.07994533 -4.59096479],True
85,85,418410672721858962,Human-like,"If squares are less round than balls, then balls are ","['rounder than squares', 'less round than squares']",['rounder than squares'],True,False,True,[-5.22541046 -6.1791563 ],True,[-1.41931713 -5.80894327],True
86,86,-3475973660871231033,Human-like,"If oranges are more sweet than grapes, then grapes are ","['less sweet than oranges', 'more sweet than oranges']",['less sweet than oranges'],False,False,True,[-2.6909349  -6.21967268],True,[-0.8145566  -4.70644855],True
87,87,3043557737824961705,Human-like,"If oranges are less sweet than grapes, then grapes are ","['more sweet than oranges', 'less sweet than oranges']",['more sweet than oranges'],True,False,True,[-4.77512836 -4.59071255],False,[-0.99262953 -5.00566959],True
88,88,-3303763688219388091,Human-like,"If shoes are taller than chairs, then chairs are ","['shorter than shoes', 'taller than shoes']",['shorter than shoes'],False,False,True,[-2.74713421 -5.88218307],True,[-0.75850594 -4.39399099],True
89,89,3380124850463601628,Human-like,"If shoes are shorter than chairs, then chairs are ","['taller than shoes', 'shorter than shoes']",['taller than shoes'],True,False,True,[-3.58231544 -5.9799118 ],True,[-1.00285459 -4.01727009],True
90,90,-6435009023709473568,Human-like,"If walking is faster than running, then running is ","['slower than walking', 'faster than walking']",['slower than walking'],False,False,True,[-2.30355215 -4.57432652],True,[-0.82097006 -4.08787298],True
91,91,-5483882675143090462,Human-like,"If walking is slower than running, then running is ","['faster than walking', 'slower than walking']",['faster than walking'],True,False,True,[-2.96637988 -5.7692585 ],True,[-0.92374504 -4.69135237],True
92,92,279892768440776821,Human-like,"If walking is more fun than running, then running is ","['less fun than walking', 'more fun than walking']",['less fun than walking'],False,False,True,[-2.67459416 -5.22644091],True,[-0.84921616 -6.24498749],True
93,93,602282145715352978,Human-like,"If walking is less fun than running, then running is ","['more fun than walking', 'less fun than walking']",['more fun than walking'],True,False,True,[-2.83154964 -6.04595804],True,[-0.98591596 -5.51750708],True
94,94,-8132297896139466810,Human-like,"If cats can jump farther than frogs, then frogs can ","['jump less far than cats', 'jump farther than cats']",['jump less far than cats'],False,False,True,[-5.15649796 -3.1961    ],False,[-1.01043153 -5.27891302],True
95,95,-92367407655224778,Human-like,"If cats can jump less far than frogs, then frogs can ","['jump farther than cats', 'jump less far than cats']",['jump farther than cats'],True,False,True,[-3.26552343 -3.90423965],True,[-0.9758454  -4.11378384],True
96,96,6774016228133799201,Human-like,"If humans can fly faster than birds, then birds can ","['fly slower than humans', 'fly faster than humans']",['fly slower than humans'],False,False,True,[-2.62901425 -1.83536398],False,[-1.09856296 -5.03564978],True
97,97,-5379612810413589975,Human-like,"If humans can fly slower than birds, then birds can ","['fly faster than humans', 'fly slower than humans']",['fly faster than humans'],True,False,True,[-1.84460223 -4.63547039],True,[-1.13598239 -4.16497707],True
98,98,7365156394911091180,Human-like,"If bears are smaller than spiders, then spiders are ","['bigger than bears', 'smaller than bears']",['bigger than bears'],False,False,True,[-2.73052239 -4.59687424],True,[-0.94608206 -4.95481157],True
99,99,-5656782923599060157,Human-like,"If bears are bigger than spiders, then spiders are ","['smaller than bears', 'bigger than bears']",['smaller than bears'],True,False,True,[-2.33542395 -4.95436573],True,[-0.89118624 -3.77561069],True
100,100,-8924319291717987996,Human-like,"If goats have longer necks than giraffes, then giraffes have ","['shorter necks than goats', 'longer necks than goats']",['shorter necks than goats'],False,False,True,[-1.80115616 -3.05070782],True,[-0.8666966  -4.75037479],True
101,101,-1524516348782716345,Human-like,"If goats have shorter necks than giraffes, then giraffes have ","['longer necks than goats', 'shorter necks than goats']",['longer necks than goats'],True,False,True,[-2.76029587 -5.41178083],True,[-0.9890089  -4.51407051],True
102,102,-3810528041702091397,Human-like,"If worms are more scary than sharks, then sharks are ","['less scary than worms', 'more scary than worms']",['less scary than worms'],False,False,True,[-2.80707574 -5.56999207],True,[-0.86788827 -4.38848019],True
103,103,5751260044848901114,Human-like,"If worms are less scary than sharks, then sharks are ","['more scary than worms', 'less scary than worms']",['more scary than worms'],True,False,True,[-4.11018991 -6.36603403],True,[-1.00565434 -5.16855335],True
104,104,-7796136594408236953,Human-like,"If shrubs are bigger than trees, then trees are ","['smaller than shrubs', 'bigger than shrubs']",['smaller than shrubs'],False,False,True,[-2.52752185 -4.68694544],True,[-0.9091832 -3.6726737],True
105,105,8965208748734051059,Human-like,"If shrubs are smaller than trees, then trees are ","['bigger than shrubs', 'smaller than shrubs']",['bigger than shrubs'],True,False,True,[-3.49928927 -5.40962505],True,[-0.87316871 -5.90124893],True
106,106,-2310867436174916121,Human-like,"If airplanes are faster than rockets, then rockets are ","['slower than airplanes', 'faster than airplanes']",['slower than airplanes'],False,False,True,[-1.8152082  -4.50981426],True,[-0.84452486 -4.36818504],True
107,107,4817162430323848740,Human-like,"If airplanes are slower than rockets, then rockets are ","['faster than airplanes', 'slower than airplanes']",['faster than airplanes'],True,False,True,[-2.33909798 -5.03923273],True,[-1.02824759 -4.66691208],True
108,108,7721724835837490076,Human-like,"If lemons are sweeter than tomatoes, then tomatoes are ","['less sweet than lemons', 'sweeter than lemons']",['less sweet than lemons'],False,False,True,[-5.0859499  -5.46508503],True,[-0.80682462 -4.70619631],True
109,109,-8895116630550333295,Human-like,"If lemons are less sweet than tomatoes, then tomatoes are ","['sweeter than lemons', 'less sweet than lemons']",['sweeter than lemons'],True,False,True,[-3.47000265 -6.01220083],True,[-1.01526308 -4.91111374],True
110,110,-5094142623360925929,Human-like,"If mice can run faster than cheetahs, then cheetahs can ","['run slower than mice', 'run faster than mice']",['run slower than mice'],False,False,True,[-2.96650195 -1.88851571],False,[-0.91758668 -3.81364298],True
111,111,-7293301576167097237,Human-like,"If mice can run slower than cheetahs, then cheetahs can ","['run faster than mice', 'run slower than mice']",['run faster than mice'],True,False,True,[-2.02840972 -5.73127174],True,[-0.9587726 -4.6058116],True
112,112,-6991376989699659931,Human-like,"If giraffes are fatter than penguins, then penguins are ","['skinnier than giraffes', 'fatter than giraffes']",['skinnier than giraffes'],False,False,True,[-4.19908476 -3.88089275],False,[-0.89478439 -4.65653849],True
113,113,628572805107050760,Human-like,"If giraffes are skinnier than penguins, then penguins are ","['fatter than giraffes', 'skinnier than giraffes']",['fatter than giraffes'],True,False,True,[-3.78744888 -4.60438824],True,[-1.11829662 -3.75066471],True
114,114,6955712299445511871,Human-like,"If fish are more loyal than dogs, then dogs are ","['less loyal than fish', 'more loyal than fish']",['less loyal than fish'],False,False,True,[-2.65363312 -4.99012661],True,[-0.82361341 -4.22651911],True
115,115,6920915079211142666,Human-like,"If fish are less loyal than dogs, then dogs are ","['more loyal than fish', 'less loyal than fish']",['more loyal than fish'],True,False,True,[-2.78553677 -5.16016531],True,[-0.9985218 -5.4226594],True
116,116,3787235184856559971,Human-like,"If birds are more dangerous than bees, then bees are ","['less dangerous than birds', 'more dangerous than birds']",['less dangerous than birds'],False,False,True,[-2.859267   -5.56878281],True,[-0.74923325 -4.27020693],True
117,117,-2325920902010232222,Human-like,"If birds are less dangerous than bees, then bees are ","['more dangerous than birds', 'less dangerous than birds']",['more dangerous than birds'],True,False,True,[-3.27633023 -5.43422127],True,[-0.99715418 -5.26497412],True
118,118,1178651371955807696,Human-like,"If caterpillars are stronger than ants, then ants are ","['weaker than caterpillars', 'stronger than caterpillars']",['weaker than caterpillars'],False,False,True,[-2.55896163 -5.12222433],True,[-0.86868864 -4.7614069 ],True
119,119,-3638489596351810918,Human-like,"If caterpillars are weaker than ants, then ants are ","['stronger than caterpillars', 'weaker than caterpillars']",['stronger than caterpillars'],True,False,True,[-2.94509673 -6.27528   ],True,[-1.05217838 -5.93975115],True
120,120,-4943407153751722235,Human-like,"If wolves are more dangerous than lions, then lions are ","['less dangerous than wolves', 'more dangerous than wolves']",['less dangerous than wolves'],False,False,True,[-2.51283836 -5.00278473],True,[-0.74471861 -4.79729843],True
121,121,6854286059243093547,Human-like,"If wolves are less dangerous than lions, then lions are ","['more dangerous than wolves', 'less dangerous than wolves']",['more dangerous than wolves'],True,False,True,[-2.66327691 -4.89151478],True,[-0.99951178 -5.41140556],True
122,122,7746435811691387094,Human-like,"If ants are taller than people, then people are ","['shorter than ants', 'taller than ants']",['shorter than ants'],False,False,True,[-3.08897638 -5.23204994],True,[-0.76506466 -4.15451288],True
123,123,-6189806648415316457,Human-like,"If ants are shorter than people, then people are ","['taller than ants', 'shorter than ants']",['taller than ants'],True,False,True,[-2.94371295 -5.30450344],True,[-0.852552   -4.87059355],True
124,124,2952638764765458874,Human-like,"If fish are more beautiful than butterflies, then butterflies are ","['less beautiful than fish', 'more beautiful than fish']",['less beautiful than fish'],False,False,True,[-2.69627738 -4.69303036],True,[-0.79731584 -5.81314993],True
125,125,1520162220428483952,Human-like,"If fish are less beautiful than butterflies, then butterflies are ","['more beautiful than fish', 'less beautiful than fish']",['more beautiful than fish'],True,False,True,[-2.81769872 -5.42305326],True,[-1.01312506 -5.17161417],True
126,126,5793465131467932771,Human-like,"If cats are stronger than dogs, then dogs are ","['weaker than cats', 'stronger than cats']",['weaker than cats'],False,False,True,[-2.19211984 -4.61112261],True,[-0.87646228 -4.64732265],True
127,127,4449328464121549937,Human-like,"If cats are weaker than dogs, then dogs are ","['stronger than cats', 'weaker than cats']",['stronger than cats'],True,False,True,[-2.66602087 -6.08168507],True,[-0.92013597 -5.68630028],True
128,128,1298297350600209801,Human-like,"If insects are stronger than gorillas, then gorillas are ","['weaker than insects', 'stronger than insects']",['weaker than insects'],False,False,True,[-2.5575633  -4.83325005],True,[-0.84105194 -3.8504703 ],True
