,Unnamed: 0,index,name,prompt_name,input,continuations,correct_answer,is_consistent,is_nonsense,is_realistic,logprobs,multiple_choice_grade,human_matched_logprobs,human_matched_multiple_choice_grade
52,52,52,2462379629116637564,Human-like,"If leaves are heavier than books, then books are ","['lighter than leaves', 'heavier than leaves']",['lighter than leaves'],False,False,True,[-2.33886552 -4.67338419],True,[-0.86606276 -3.51381207],True
54,54,54,8830430510356611025,Human-like,"If broccoli is sweeter than candy, then candy is ","['less sweet than broccoli', 'sweeter than broccoli']",['less sweet than broccoli'],False,False,True,[-4.83362246 -4.61828613],False,[-0.85268879 -4.12329531],True
56,56,56,5779881308334683209,Human-like,"If trees are taller than skyscrapers, then skyscrapers are ","['shorter than trees', 'taller than trees']",['shorter than trees'],False,False,True,[-2.74973273 -5.53476858],True,[-0.74823713 -4.76408052],True
58,58,58,-128248488312184144,Human-like,"If water is more dry than wet, then water is ","['less wet than dry', 'more wet than dry']",['less wet than dry'],False,False,True,[-5.46018219 -3.87154126],False,[-1.78201532 -1.91474533],True
60,60,60,-7099903103059874015,Human-like,"If ice is more hot than fire, then fire is ","['less hot than ice', 'more hot than ice']",['less hot than ice'],False,False,True,[-4.73632574 -5.13278198],True,[-1.12190819 -3.12572455],True
62,62,62,-1776350586914772659,Human-like,"If paper is harder than wood, then wood is ","['softer than paper', 'harder than paper']",['softer than paper'],False,False,True,[-2.88856483 -7.445014  ],True,[-0.84134442 -4.12917519],True
64,64,64,6287239990248545280,Human-like,"If daisies are more beautiful than roses, then roses are ","['less beautiful than daisies', 'more beautiful than daisies']",['less beautiful than daisies'],False,False,True,[-2.80119085 -3.97842073],True,[-0.81661254 -5.10666275],True
66,66,66,956642921111157991,Human-like,"If snakes are slimier than lizards, then lizards are ","['drier than snakes', 'slimier than snakes']",['drier than snakes'],False,False,True,[-8.68625069 -5.07889414],False,[-0.87791294 -6.25691175],True
68,68,68,-4323148829744575804,Human-like,"If rain is louder than thunder, then thunder is ","['quieter than rain', 'louder than rain']",['quieter than rain'],False,False,True,[-3.01096177 -4.51020908],True,[-1.20940459 -3.72656059],True
70,70,70,2692349286841468603,Human-like,"If librarians are funnier than clowns, then clowns are ","['less funny than librarians', 'funnier than librarians']",['less funny than librarians'],False,False,True,[-3.98741627 -4.35205936],True,[-0.90957767 -4.32710552],True
72,72,72,7191114153803895042,Human-like,"If dogs are slower than hens, then hens are ","['faster than dogs', 'slower than dogs']",['faster than dogs'],False,False,True,[-2.41856647 -5.24380779],True,[-1.01315188 -4.01774406],True
74,74,74,-1518451771095184170,Human-like,"If cars are cuter than dogs, then dogs are ","['less cute than cars', 'cuter than cars']",['less cute than cars'],False,False,True,[-4.44607306 -4.5523057 ],True,[-0.87842906 -5.63672018],True
76,76,76,-5610672808844763765,Human-like,"If snow is fluffier than clouds, then clouds are ","['less fluffy than snow', 'fluffier than snow']",['less fluffy than snow'],False,False,True,[-4.94095516 -4.4488492 ],False,[-1.05664766 -6.32966232],True
78,78,78,7432079362499549751,Human-like,"If roses are more hairy than spiders, then spiders are ","['less hairy than roses', 'more hairy than roses']",['less hairy than roses'],False,False,True,[-2.62166619 -4.95578909],True,[-0.97060657 -3.99676585],True
80,80,80,3280345861631980905,Human-like,"If roses are bigger than apples, then apples are ","['smaller than roses', 'bigger than roses']",['smaller than roses'],False,False,True,[-1.95702744 -4.47887135],True,[-0.81173456 -4.20163774],True
82,82,82,764481124054535208,Human-like,"If dogs are smaller than cats, then cats are ","['bigger than dogs', 'smaller than dogs']",['bigger than dogs'],False,False,True,[-2.74311852 -4.32381535],True,[-0.81842011 -5.46012068],True
84,84,84,8935089261010854539,Human-like,"If squares are rounder than balls, then balls are ","['less round than squares', 'rounder than squares']",['less round than squares'],False,False,True,[-5.85578918 -4.95473003],False,[-1.07994533 -4.59096479],True
86,86,86,-3475973660871231033,Human-like,"If oranges are more sweet than grapes, then grapes are ","['less sweet than oranges', 'more sweet than oranges']",['less sweet than oranges'],False,False,True,[-2.6909349  -6.21967268],True,[-0.8145566  -4.70644855],True
88,88,88,-3303763688219388091,Human-like,"If shoes are taller than chairs, then chairs are ","['shorter than shoes', 'taller than shoes']",['shorter than shoes'],False,False,True,[-2.74713421 -5.88218307],True,[-0.75850594 -4.39399099],True
90,90,90,-6435009023709473568,Human-like,"If walking is faster than running, then running is ","['slower than walking', 'faster than walking']",['slower than walking'],False,False,True,[-2.30355215 -4.57432652],True,[-0.82097006 -4.08787298],True
92,92,92,279892768440776821,Human-like,"If walking is more fun than running, then running is ","['less fun than walking', 'more fun than walking']",['less fun than walking'],False,False,True,[-2.67459416 -5.22644091],True,[-0.84921616 -6.24498749],True
94,94,94,-8132297896139466810,Human-like,"If cats can jump farther than frogs, then frogs can ","['jump less far than cats', 'jump farther than cats']",['jump less far than cats'],False,False,True,[-5.15649796 -3.1961    ],False,[-1.01043153 -5.27891302],True
96,96,96,6774016228133799201,Human-like,"If humans can fly faster than birds, then birds can ","['fly slower than humans', 'fly faster than humans']",['fly slower than humans'],False,False,True,[-2.62901425 -1.83536398],False,[-1.09856296 -5.03564978],True
98,98,98,7365156394911091180,Human-like,"If bears are smaller than spiders, then spiders are ","['bigger than bears', 'smaller than bears']",['bigger than bears'],False,False,True,[-2.73052239 -4.59687424],True,[-0.94608206 -4.95481157],True
100,100,100,-8924319291717987996,Human-like,"If goats have longer necks than giraffes, then giraffes have ","['shorter necks than goats', 'longer necks than goats']",['shorter necks than goats'],False,False,True,[-1.80115616 -3.05070782],True,[-0.8666966  -4.75037479],True
102,102,102,-3810528041702091397,Human-like,"If worms are more scary than sharks, then sharks are ","['less scary than worms', 'more scary than worms']",['less scary than worms'],False,False,True,[-2.80707574 -5.56999207],True,[-0.86788827 -4.38848019],True
104,104,104,-7796136594408236953,Human-like,"If shrubs are bigger than trees, then trees are ","['smaller than shrubs', 'bigger than shrubs']",['smaller than shrubs'],False,False,True,[-2.52752185 -4.68694544],True,[-0.9091832 -3.6726737],True
106,106,106,-2310867436174916121,Human-like,"If airplanes are faster than rockets, then rockets are ","['slower than airplanes', 'faster than airplanes']",['slower than airplanes'],False,False,True,[-1.8152082  -4.50981426],True,[-0.84452486 -4.36818504],True
108,108,108,7721724835837490076,Human-like,"If lemons are sweeter than tomatoes, then tomatoes are ","['less sweet than lemons', 'sweeter than lemons']",['less sweet than lemons'],False,False,True,[-5.0859499  -5.46508503],True,[-0.80682462 -4.70619631],True
110,110,110,-5094142623360925929,Human-like,"If mice can run faster than cheetahs, then cheetahs can ","['run slower than mice', 'run faster than mice']",['run slower than mice'],False,False,True,[-2.96650195 -1.88851571],False,[-0.91758668 -3.81364298],True
112,112,112,-6991376989699659931,Human-like,"If giraffes are fatter than penguins, then penguins are ","['skinnier than giraffes', 'fatter than giraffes']",['skinnier than giraffes'],False,False,True,[-4.19908476 -3.88089275],False,[-0.89478439 -4.65653849],True
114,114,114,6955712299445511871,Human-like,"If fish are more loyal than dogs, then dogs are ","['less loyal than fish', 'more loyal than fish']",['less loyal than fish'],False,False,True,[-2.65363312 -4.99012661],True,[-0.82361341 -4.22651911],True
116,116,116,3787235184856559971,Human-like,"If birds are more dangerous than bees, then bees are ","['less dangerous than birds', 'more dangerous than birds']",['less dangerous than birds'],False,False,True,[-2.859267   -5.56878281],True,[-0.74923325 -4.27020693],True
118,118,118,1178651371955807696,Human-like,"If caterpillars are stronger than ants, then ants are ","['weaker than caterpillars', 'stronger than caterpillars']",['weaker than caterpillars'],False,False,True,[-2.55896163 -5.12222433],True,[-0.86868864 -4.7614069 ],True
120,120,120,-4943407153751722235,Human-like,"If wolves are more dangerous than lions, then lions are ","['less dangerous than wolves', 'more dangerous than wolves']",['less dangerous than wolves'],False,False,True,[-2.51283836 -5.00278473],True,[-0.74471861 -4.79729843],True
122,122,122,7746435811691387094,Human-like,"If ants are taller than people, then people are ","['shorter than ants', 'taller than ants']",['shorter than ants'],False,False,True,[-3.08897638 -5.23204994],True,[-0.76506466 -4.15451288],True
124,124,124,2952638764765458874,Human-like,"If fish are more beautiful than butterflies, then butterflies are ","['less beautiful than fish', 'more beautiful than fish']",['less beautiful than fish'],False,False,True,[-2.69627738 -4.69303036],True,[-0.79731584 -5.81314993],True
126,126,126,5793465131467932771,Human-like,"If cats are stronger than dogs, then dogs are ","['weaker than cats', 'stronger than cats']",['weaker than cats'],False,False,True,[-2.19211984 -4.61112261],True,[-0.87646228 -4.64732265],True
128,128,128,1298297350600209801,Human-like,"If insects are stronger than gorillas, then gorillas are ","['weaker than insects', 'stronger than insects']",['weaker than insects'],False,False,True,[-2.5575633  -4.83325005],True,[-0.84105194 -3.8504703 ],True
130,130,130,-6920632076298894797,Human-like,"If the night is hotter than the day, then the day is ","['colder than the night', 'hotter than the night']",['colder than the night'],False,False,True,[-3.09727383 -4.46477795],True,[-1.07149386 -2.71973729],True
132,132,132,1546749665637306531,Human-like,"If silver is more expensive than gold, then gold is ","['less expensive than silver', 'more expensive than silver']",['less expensive than silver'],False,False,True,[-2.76160598 -4.91729879],True,[-0.86027759 -5.50388718],True
134,134,134,-1973889908152216142,Human-like,"If enemies are better than friends, then friends are ","['worse than enemies', 'better than enemies']",['worse than enemies'],False,False,True,[-2.08463645 -3.49962568],True,[-0.89174485 -5.29085064],True
136,136,136,-221999222062362349,Human-like,"If cars are bigger than boats, then boats are ","['smaller than cars', 'bigger than cars']",['smaller than cars'],False,False,True,[-2.63971901 -5.79934835],True,[-0.81021714 -4.33209515],True
138,138,138,3141798095453440871,Human-like,"If horses are faster than cars, then cars are ","['slower than horses', 'faster than horses']",['slower than horses'],False,False,True,[-2.03928852 -5.25837135],True,[-0.76301152 -4.55760098],True
140,140,140,-3959265181253221423,Human-like,"If snow is wetter than rain, then rain is ","['drier than snow', 'wetter than snow']",['drier than snow'],False,False,True,[-3.80911779 -5.16462755],True,[-1.01985824 -3.04377913],True
142,142,142,-1845346098479525325,Human-like,"If winter is hotter than summer, then summer is ","['colder than winter', 'hotter than winter']",['colder than winter'],False,False,True,[-2.73827839 -5.90235996],True,[-0.89760512 -3.30786991],True
144,144,144,3655158864364376889,Human-like,"If Europe is bigger than Africa, then Africa is ","['smaller than Europe', 'bigger than Europe']",['smaller than Europe'],False,False,True,[-2.23552608 -4.90764284],True,[-0.90625584 -4.17007256],True
146,146,146,-7653765526515964481,Human-like,"If Europe is bigger than Latin America, then Latin America is ","['smaller than Europe', 'bigger than Europe']",['smaller than Europe'],False,False,True,[-2.61595678 -5.32445383],True,[-0.80280346 -4.81590796],True
148,148,148,-3722096239967194593,Human-like,"If Europe is bigger than Asia, then Asia is ","['smaller than Europe', 'bigger than Europe']",['smaller than Europe'],False,False,True,[-2.30687308 -4.49320698],True,[-0.8485558  -4.23553228],True
150,150,150,-811472450754184993,Human-like,"If Australia is bigger than Africa, then Africa is ","['smaller than Australia', 'bigger than Australia']",['smaller than Australia'],False,False,True,[-2.3012507  -5.11820984],True,[-0.84935665 -3.86516523],True
152,152,152,-602197804810995999,Human-like,"If the moon is hotter than the sun, then the sun is ","['colder than the moon', 'hotter than the moon']",['colder than the moon'],False,False,True,[-3.19631195 -4.37723112],True,[-1.11221814 -2.23997331],True
154,154,154,-242093053466049283,Human-like,"If the moon is brighter than the sun, then the sun is ","['dimmer than the moon', 'brighter than the moon']",['dimmer than the moon'],False,False,True,[-3.66087484 -3.66571641],True,[-0.93149596 -3.93675971],True
