ori_idx,prompt
7,buildings are smaller than trees. Are trees bigger than buildings?
7,buildings are smaller than trees. Are trees smaller than buildings?
7,buildings are smaller than trees. Are buildings bigger than trees?
7,buildings are smaller than trees. Are buildings smaller than trees?
9,puddles are bigger than seas. Are puddles bigger than seas?
9,puddles are bigger than seas. Are puddles smaller than seas?
9,puddles are bigger than seas. Are seas bigger than puddles?
9,puddles are bigger than seas. Are seas smaller than puddles?
9,puddles are smaller than seas. Are puddles bigger than seas?
9,puddles are smaller than seas. Are puddles smaller than seas?
9,puddles are smaller than seas. Are seas bigger than puddles?
9,puddles are smaller than seas. Are seas smaller than puddles?
9,seas are bigger than puddles. Are puddles bigger than seas?
9,seas are bigger than puddles. Are puddles smaller than seas?
9,seas are bigger than puddles. Are seas bigger than puddles?
9,seas are bigger than puddles. Are seas smaller than puddles?
9,seas are smaller than puddles. Are puddles bigger than seas?
9,seas are smaller than puddles. Are puddles smaller than seas?
9,seas are smaller than puddles. Are seas bigger than puddles?
9,seas are smaller than puddles. Are seas smaller than puddles?
11,moon is bigger than earth. Is moon bigger than earth?
11,moon is bigger than earth. Is moon smaller than earth?
11,moon is bigger than earth. Is earth bigger than moon?
11,moon is bigger than earth. Is earth smaller than moon?
11,moon is smaller than earth. Is moon bigger than earth?
11,moon is smaller than earth. Is moon smaller than earth?
11,moon is smaller than earth. Is earth bigger than moon?
11,moon is smaller than earth. Is earth smaller than moon?
11,earth is bigger than moon. Is moon bigger than earth?
11,earth is bigger than moon. Is moon smaller than earth?
11,earth is bigger than moon. Is earth bigger than moon?
11,earth is bigger than moon. Is earth smaller than moon?
11,earth is smaller than moon. Is moon bigger than earth?
11,earth is smaller than moon. Is moon smaller than earth?
11,earth is smaller than moon. Is earth bigger than moon?
11,earth is smaller than moon. Is earth smaller than moon?
13,nightmare is more peaceful than dream. Is nightmare more peaceful than dream?
13,nightmare is more peaceful than dream. Is nightmare less peaceful than dream?
13,nightmare is more peaceful than dream. Is dream more peaceful than nightmare?
13,nightmare is more peaceful than dream. Is dream less peaceful than nightmare?
13,nightmare is less peaceful than dream. Is nightmare more peaceful than dream?
13,nightmare is less peaceful than dream. Is nightmare less peaceful than dream?
13,nightmare is less peaceful than dream. Is dream more peaceful than nightmare?
13,nightmare is less peaceful than dream. Is dream less peaceful than nightmare?
13,dream is more peaceful than nightmare. Is nightmare more peaceful than dream?
13,dream is more peaceful than nightmare. Is nightmare less peaceful than dream?
13,dream is more peaceful than nightmare. Is dream more peaceful than nightmare?
13,dream is more peaceful than nightmare. Is dream less peaceful than nightmare?
13,dream is less peaceful than nightmare. Is nightmare more peaceful than dream?
13,dream is less peaceful than nightmare. Is nightmare less peaceful than dream?
13,dream is less peaceful than nightmare. Is dream more peaceful than nightmare?
13,dream is less peaceful than nightmare. Is dream less peaceful than nightmare?
15,clouds is more useful than paper. Is clouds more useful than paper?
15,clouds is more useful than paper. Is clouds less useful than paper?
15,clouds is more useful than paper. Is paper more useful than clouds?
15,clouds is more useful than paper. Is paper less useful than clouds?
15,clouds is less useful than paper. Is clouds more useful than paper?
15,clouds is less useful than paper. Is clouds less useful than paper?
15,clouds is less useful than paper. Is paper more useful than clouds?
15,clouds is less useful than paper. Is paper less useful than clouds?
15,paper is more useful than clouds. Is clouds more useful than paper?
15,paper is more useful than clouds. Is clouds less useful than paper?
15,paper is more useful than clouds. Is paper more useful than clouds?
15,paper is more useful than clouds. Is paper less useful than clouds?
15,paper is less useful than clouds. Is clouds more useful than paper?
15,paper is less useful than clouds. Is clouds less useful than paper?
15,paper is less useful than clouds. Is paper more useful than clouds?
15,paper is less useful than clouds. Is paper less useful than clouds?
17,fire is more wet than rain. Is fire more wet than rain?
17,fire is more wet than rain. Is fire less wet than rain?
17,fire is more wet than rain. Is rain more wet than fire?
17,fire is more wet than rain. Is rain less wet than fire?
17,fire is less wet than rain. Is fire more wet than rain?
17,fire is less wet than rain. Is fire less wet than rain?
17,fire is less wet than rain. Is rain more wet than fire?
17,fire is less wet than rain. Is rain less wet than fire?
17,rain is more wet than fire. Is fire more wet than rain?
17,rain is more wet than fire. Is fire less wet than rain?
17,rain is more wet than fire. Is rain more wet than fire?
17,rain is more wet than fire. Is rain less wet than fire?
17,rain is less wet than fire. Is fire more wet than rain?
17,rain is less wet than fire. Is fire less wet than rain?
17,rain is less wet than fire. Is rain more wet than fire?
17,rain is less wet than fire. Is rain less wet than fire?
19,weeds are more beautiful than roses. Are weeds more beautiful than roses?
19,weeds are more beautiful than roses. Are weeds less beautiful than roses?
19,weeds are more beautiful than roses. Are roses more beautiful than weeds?
19,weeds are more beautiful than roses. Are roses less beautiful than weeds?
19,weeds are less beautiful than roses. Are weeds more beautiful than roses?
19,weeds are less beautiful than roses. Are weeds less beautiful than roses?
19,weeds are less beautiful than roses. Are roses more beautiful than weeds?
19,weeds are less beautiful than roses. Are roses less beautiful than weeds?
19,roses are more beautiful than weeds. Are weeds more beautiful than roses?
19,roses are more beautiful than weeds. Are weeds less beautiful than roses?
19,roses are more beautiful than weeds. Are roses more beautiful than weeds?
19,roses are more beautiful than weeds. Are roses less beautiful than weeds?
19,roses are less beautiful than weeds. Are weeds more beautiful than roses?
19,roses are less beautiful than weeds. Are weeds less beautiful than roses?
19,roses are less beautiful than weeds. Are roses more beautiful than weeds?
19,roses are less beautiful than weeds. Are roses less beautiful than weeds?
21,Sahara desert is hotter than Arctic. Is Sahara desert hotter than Arctic?
21,Sahara desert is hotter than Arctic. Is Sahara desert colder than Arctic?
21,Sahara desert is hotter than Arctic. Is Arctic hotter than Sahara desert?
21,Sahara desert is hotter than Arctic. Is Arctic colder than Sahara desert?
21,Sahara desert is colder than Arctic. Is Sahara desert hotter than Arctic?
21,Sahara desert is colder than Arctic. Is Sahara desert colder than Arctic?
21,Sahara desert is colder than Arctic. Is Arctic hotter than Sahara desert?
21,Sahara desert is colder than Arctic. Is Arctic colder than Sahara desert?
21,Arctic is hotter than Sahara desert. Is Sahara desert hotter than Arctic?
21,Arctic is hotter than Sahara desert. Is Sahara desert colder than Arctic?
21,Arctic is hotter than Sahara desert. Is Arctic hotter than Sahara desert?
21,Arctic is hotter than Sahara desert. Is Arctic colder than Sahara desert?
21,Arctic is colder than Sahara desert. Is Sahara desert hotter than Arctic?
21,Arctic is colder than Sahara desert. Is Sahara desert colder than Arctic?
21,Arctic is colder than Sahara desert. Is Arctic hotter than Sahara desert?
21,Arctic is colder than Sahara desert. Is Arctic colder than Sahara desert?
23,war is better than peace. Is war better than peace?
23,war is better than peace. Is war worse than peace?
23,war is better than peace. Is peace better than war?
23,war is better than peace. Is peace worse than war?
23,war is worse than peace. Is war better than peace?
23,war is worse than peace. Is war worse than peace?
23,war is worse than peace. Is peace better than war?
23,war is worse than peace. Is peace worse than war?
23,peace is better than war. Is war better than peace?
23,peace is better than war. Is war worse than peace?
23,peace is better than war. Is peace better than war?
23,peace is better than war. Is peace worse than war?
23,peace is worse than war. Is war better than peace?
23,peace is worse than war. Is war worse than peace?
23,peace is worse than war. Is peace better than war?
23,peace is worse than war. Is peace worse than war?
25,Earth is bigger than Jupiter. Is Earth bigger than Jupiter?
25,Earth is bigger than Jupiter. Is Earth smaller than Jupiter?
25,Earth is bigger than Jupiter. Is Jupiter bigger than Earth?
25,Earth is bigger than Jupiter. Is Jupiter smaller than Earth?
25,Earth is smaller than Jupiter. Is Earth bigger than Jupiter?
25,Earth is smaller than Jupiter. Is Earth smaller than Jupiter?
25,Earth is smaller than Jupiter. Is Jupiter bigger than Earth?
25,Earth is smaller than Jupiter. Is Jupiter smaller than Earth?
25,Jupiter is bigger than Earth. Is Earth bigger than Jupiter?
25,Jupiter is bigger than Earth. Is Earth smaller than Jupiter?
25,Jupiter is bigger than Earth. Is Jupiter bigger than Earth?
25,Jupiter is bigger than Earth. Is Jupiter smaller than Earth?
25,Jupiter is smaller than Earth. Is Earth bigger than Jupiter?
25,Jupiter is smaller than Earth. Is Earth smaller than Jupiter?
25,Jupiter is smaller than Earth. Is Jupiter bigger than Earth?
25,Jupiter is smaller than Earth. Is Jupiter smaller than Earth?
27,summer is colder than winter. Is summer colder than winter?
27,summer is colder than winter. Is summer hotter than winter?
27,summer is colder than winter. Is winter colder than summer?
27,summer is colder than winter. Is winter hotter than summer?
27,summer is hotter than winter. Is summer colder than winter?
27,summer is hotter than winter. Is summer hotter than winter?
27,summer is hotter than winter. Is winter colder than summer?
27,summer is hotter than winter. Is winter hotter than summer?
27,winter is colder than summer. Is summer colder than winter?
27,winter is colder than summer. Is summer hotter than winter?
27,winter is colder than summer. Is winter colder than summer?
27,winter is colder than summer. Is winter hotter than summer?
27,winter is hotter than summer. Is summer colder than winter?
27,winter is hotter than summer. Is summer hotter than winter?
27,winter is hotter than summer. Is winter colder than summer?
27,winter is hotter than summer. Is winter hotter than summer?
29,lakes are bigger than oceans. Are lakes bigger than oceans?
29,lakes are bigger than oceans. Are lakes smaller than oceans?
29,lakes are bigger than oceans. Are oceans bigger than lakes?
29,lakes are bigger than oceans. Are oceans smaller than lakes?
29,lakes are smaller than oceans. Are lakes bigger than oceans?
29,lakes are smaller than oceans. Are lakes smaller than oceans?
29,lakes are smaller than oceans. Are oceans bigger than lakes?
29,lakes are smaller than oceans. Are oceans smaller than lakes?
29,oceans are bigger than lakes. Are lakes bigger than oceans?
29,oceans are bigger than lakes. Are lakes smaller than oceans?
29,oceans are bigger than lakes. Are oceans bigger than lakes?
29,oceans are bigger than lakes. Are oceans smaller than lakes?
29,oceans are smaller than lakes. Are lakes bigger than oceans?
29,oceans are smaller than lakes. Are lakes smaller than oceans?
29,oceans are smaller than lakes. Are oceans bigger than lakes?
29,oceans are smaller than lakes. Are oceans smaller than lakes?
31,darkness is brighter than light. Is darkness brighter than light?
31,darkness is brighter than light. Is darkness darker than light?
31,darkness is brighter than light. Is light brighter than darkness?
31,darkness is brighter than light. Is light darker than darkness?
31,darkness is darker than light. Is darkness brighter than light?
31,darkness is darker than light. Is darkness darker than light?
31,darkness is darker than light. Is light brighter than darkness?
31,darkness is darker than light. Is light darker than darkness?
31,light is brighter than darkness. Is darkness brighter than light?
31,light is brighter than darkness. Is darkness darker than light?
31,light is brighter than darkness. Is light brighter than darkness?
31,light is brighter than darkness. Is light darker than darkness?
31,light is darker than darkness. Is darkness brighter than light?
31,light is darker than darkness. Is darkness darker than light?
31,light is darker than darkness. Is light brighter than darkness?
31,light is darker than darkness. Is light darker than darkness?
33,Japan is bigger than America. Is Japan bigger than America?
33,Japan is bigger than America. Is Japan smaller than America?
33,Japan is bigger than America. Is America bigger than Japan?
33,Japan is bigger than America. Is America smaller than Japan?
33,Japan is smaller than America. Is Japan bigger than America?
33,Japan is smaller than America. Is Japan smaller than America?
33,Japan is smaller than America. Is America bigger than Japan?
33,Japan is smaller than America. Is America smaller than Japan?
33,America is bigger than Japan. Is Japan bigger than America?
33,America is bigger than Japan. Is Japan smaller than America?
33,America is bigger than Japan. Is America bigger than Japan?
33,America is bigger than Japan. Is America smaller than Japan?
33,America is smaller than Japan. Is Japan bigger than America?
33,America is smaller than Japan. Is Japan smaller than America?
33,America is smaller than Japan. Is America bigger than Japan?
33,America is smaller than Japan. Is America smaller than Japan?
35,ants are prettier than butterflies. Are ants prettier than butterflies?
35,ants are prettier than butterflies. Are ants uglier than butterflies?
35,ants are prettier than butterflies. Are butterflies prettier than ants?
35,ants are prettier than butterflies. Are butterflies uglier than ants?
35,ants are uglier than butterflies. Are ants prettier than butterflies?
35,ants are uglier than butterflies. Are ants uglier than butterflies?
35,ants are uglier than butterflies. Are butterflies prettier than ants?
35,ants are uglier than butterflies. Are butterflies uglier than ants?
35,butterflies are prettier than ants. Are ants prettier than butterflies?
35,butterflies are prettier than ants. Are ants uglier than butterflies?
35,butterflies are prettier than ants. Are butterflies prettier than ants?
35,butterflies are prettier than ants. Are butterflies uglier than ants?
35,butterflies are uglier than ants. Are ants prettier than butterflies?
35,butterflies are uglier than ants. Are ants uglier than butterflies?
35,butterflies are uglier than ants. Are butterflies prettier than ants?
35,butterflies are uglier than ants. Are butterflies uglier than ants?
37,rain is colder than snow. Is rain colder than snow?
37,rain is colder than snow. Is rain hotter than snow?
37,rain is colder than snow. Is snow colder than rain?
37,rain is colder than snow. Is snow hotter than rain?
37,rain is hotter than snow. Is rain colder than snow?
37,rain is hotter than snow. Is rain hotter than snow?
37,rain is hotter than snow. Is snow colder than rain?
37,rain is hotter than snow. Is snow hotter than rain?
37,snow is colder than rain. Is rain colder than snow?
37,snow is colder than rain. Is rain hotter than snow?
37,snow is colder than rain. Is snow colder than rain?
37,snow is colder than rain. Is snow hotter than rain?
37,snow is hotter than rain. Is rain colder than snow?
37,snow is hotter than rain. Is rain hotter than snow?
37,snow is hotter than rain. Is snow colder than rain?
37,snow is hotter than rain. Is snow hotter than rain?
39,shrubs are taller than trees. Are shrubs taller than trees?
39,shrubs are taller than trees. Are shrubs shorter than trees?
39,shrubs are taller than trees. Are trees taller than shrubs?
39,shrubs are taller than trees. Are trees shorter than shrubs?
39,shrubs are shorter than trees. Are shrubs taller than trees?
39,shrubs are shorter than trees. Are shrubs shorter than trees?
39,shrubs are shorter than trees. Are trees taller than shrubs?
39,shrubs are shorter than trees. Are trees shorter than shrubs?
39,trees are taller than shrubs. Are shrubs taller than trees?
39,trees are taller than shrubs. Are shrubs shorter than trees?
39,trees are taller than shrubs. Are trees taller than shrubs?
39,trees are taller than shrubs. Are trees shorter than shrubs?
39,trees are shorter than shrubs. Are shrubs taller than trees?
39,trees are shorter than shrubs. Are shrubs shorter than trees?
39,trees are shorter than shrubs. Are trees taller than shrubs?
39,trees are shorter than shrubs. Are trees shorter than shrubs?
41,water is colder than ice. Is water colder than ice?
41,water is colder than ice. Is water hotter than ice?
41,water is colder than ice. Is ice colder than water?
41,water is colder than ice. Is ice hotter than water?
41,water is hotter than ice. Is water colder than ice?
41,water is hotter than ice. Is water hotter than ice?
41,water is hotter than ice. Is ice colder than water?
41,water is hotter than ice. Is ice hotter than water?
41,ice is colder than water. Is water colder than ice?
41,ice is colder than water. Is water hotter than ice?
41,ice is colder than water. Is ice colder than water?
41,ice is colder than water. Is ice hotter than water?
41,ice is hotter than water. Is water colder than ice?
41,ice is hotter than water. Is water hotter than ice?
41,ice is hotter than water. Is ice colder than water?
41,ice is hotter than water. Is ice hotter than water?
43,hills are higher than mountains. Are hills higher than mountains?
43,hills are higher than mountains. Are hills shorter than mountains?
43,hills are higher than mountains. Are mountains higher than hills?
43,hills are higher than mountains. Are mountains shorter than hills?
43,hills are shorter than mountains. Are hills higher than mountains?
43,hills are shorter than mountains. Are hills shorter than mountains?
43,hills are shorter than mountains. Are mountains higher than hills?
43,hills are shorter than mountains. Are mountains shorter than hills?
43,mountains are higher than hills. Are hills higher than mountains?
43,mountains are higher than hills. Are hills shorter than mountains?
43,mountains are higher than hills. Are mountains higher than hills?
43,mountains are higher than hills. Are mountains shorter than hills?
43,mountains are shorter than hills. Are hills higher than mountains?
43,mountains are shorter than hills. Are hills shorter than mountains?
43,mountains are shorter than hills. Are mountains higher than hills?
43,mountains are shorter than hills. Are mountains shorter than hills?
45,children are bigger than adults. Are children bigger than adults?
45,children are bigger than adults. Are children smaller than adults?
45,children are bigger than adults. Are adults bigger than children?
45,children are bigger than adults. Are adults smaller than children?
45,children are smaller than adults. Are children bigger than adults?
45,children are smaller than adults. Are children smaller than adults?
45,children are smaller than adults. Are adults bigger than children?
45,children are smaller than adults. Are adults smaller than children?
45,adults are bigger than children. Are children bigger than adults?
45,adults are bigger than children. Are children smaller than adults?
45,adults are bigger than children. Are adults bigger than children?
45,adults are bigger than children. Are adults smaller than children?
45,adults are smaller than children. Are children bigger than adults?
45,adults are smaller than children. Are children smaller than adults?
45,adults are smaller than children. Are adults bigger than children?
45,adults are smaller than children. Are adults smaller than children?
47,snakes are less scary than lizards. Are snakes less scary than lizards?
47,snakes are less scary than lizards. Are snakes less scary than lizards?
47,snakes are less scary than lizards. Are lizards less scary than snakes?
47,snakes are less scary than lizards. Are lizards less scary than snakes?
47,snakes are less scary than lizards. Are snakes less scary than lizards?
47,snakes are less scary than lizards. Are snakes less scary than lizards?
47,snakes are less scary than lizards. Are lizards less scary than snakes?
47,snakes are less scary than lizards. Are lizards less scary than snakes?
47,lizards are less scary than snakes. Are snakes less scary than lizards?
47,lizards are less scary than snakes. Are snakes less scary than lizards?
47,lizards are less scary than snakes. Are lizards less scary than snakes?
47,lizards are less scary than snakes. Are lizards less scary than snakes?
47,lizards are less scary than snakes. Are snakes less scary than lizards?
47,lizards are less scary than snakes. Are snakes less scary than lizards?
47,lizards are less scary than snakes. Are lizards less scary than snakes?
47,lizards are less scary than snakes. Are lizards less scary than snakes?
49,turtles are faster than wolves. Are turtles faster than wolves?
49,turtles are faster than wolves. Are turtles slower than wolves?
49,turtles are faster than wolves. Are wolves faster than turtles?
49,turtles are faster than wolves. Are wolves slower than turtles?
49,turtles are slower than wolves. Are turtles faster than wolves?
49,turtles are slower than wolves. Are turtles slower than wolves?
49,turtles are slower than wolves. Are wolves faster than turtles?
49,turtles are slower than wolves. Are wolves slower than turtles?
49,wolves are faster than turtles. Are turtles faster than wolves?
49,wolves are faster than turtles. Are turtles slower than wolves?
49,wolves are faster than turtles. Are wolves faster than turtles?
49,wolves are faster than turtles. Are wolves slower than turtles?
49,wolves are slower than turtles. Are turtles faster than wolves?
49,wolves are slower than turtles. Are turtles slower than wolves?
49,wolves are slower than turtles. Are wolves faster than turtles?
49,wolves are slower than turtles. Are wolves slower than turtles?
51,winter is hotter than summer. Is winter hotter than summer?
51,winter is hotter than summer. Is winter colder than summer?
51,winter is hotter than summer. Is summer hotter than winter?
51,winter is hotter than summer. Is summer colder than winter?
51,winter is colder than summer. Is winter hotter than summer?
51,winter is colder than summer. Is winter colder than summer?
51,winter is colder than summer. Is summer hotter than winter?
51,winter is colder than summer. Is summer colder than winter?
51,summer is hotter than winter. Is winter hotter than summer?
51,summer is hotter than winter. Is winter colder than summer?
51,summer is hotter than winter. Is summer hotter than winter?
51,summer is hotter than winter. Is summer colder than winter?
51,summer is colder than winter. Is winter hotter than summer?
51,summer is colder than winter. Is winter colder than summer?
51,summer is colder than winter. Is summer hotter than winter?
51,summer is colder than winter. Is summer colder than winter?
53,leaves are heavier than books. Are leaves heavier than books?
53,leaves are heavier than books. Are leaves lighter than books?
53,leaves are heavier than books. Are books heavier than leaves?
53,leaves are heavier than books. Are books lighter than leaves?
53,leaves are lighter than books. Are leaves heavier than books?
53,leaves are lighter than books. Are leaves lighter than books?
53,leaves are lighter than books. Are books heavier than leaves?
53,leaves are lighter than books. Are books lighter than leaves?
53,books are heavier than leaves. Are leaves heavier than books?
53,books are heavier than leaves. Are leaves lighter than books?
53,books are heavier than leaves. Are books heavier than leaves?
53,books are heavier than leaves. Are books lighter than leaves?
53,books are lighter than leaves. Are leaves heavier than books?
53,books are lighter than leaves. Are leaves lighter than books?
53,books are lighter than leaves. Are books heavier than leaves?
53,books are lighter than leaves. Are books lighter than leaves?
55,broccoli is sweeter than candy. Is broccoli sweeter than candy?
55,broccoli is sweeter than candy. Is broccoli less sweet than candy?
55,broccoli is sweeter than candy. Is candy sweeter than broccoli?
55,broccoli is sweeter than candy. Is candy less sweet than broccoli?
55,broccoli is less sweet than candy. Is broccoli sweeter than candy?
55,broccoli is less sweet than candy. Is broccoli less sweet than candy?
55,broccoli is less sweet than candy. Is candy sweeter than broccoli?
55,broccoli is less sweet than candy. Is candy less sweet than broccoli?
55,candy is sweeter than broccoli. Is broccoli sweeter than candy?
55,candy is sweeter than broccoli. Is broccoli less sweet than candy?
55,candy is sweeter than broccoli. Is candy sweeter than broccoli?
55,candy is sweeter than broccoli. Is candy less sweet than broccoli?
55,candy is less sweet than broccoli. Is broccoli sweeter than candy?
55,candy is less sweet than broccoli. Is broccoli less sweet than candy?
55,candy is less sweet than broccoli. Is candy sweeter than broccoli?
55,candy is less sweet than broccoli. Is candy less sweet than broccoli?
57,trees are taller than skyscrapers. Are trees taller than skyscrapers?
57,trees are taller than skyscrapers. Are trees shorter than skyscrapers?
57,trees are taller than skyscrapers. Are skyscrapers taller than trees?
57,trees are taller than skyscrapers. Are skyscrapers shorter than trees?
57,trees are shorter than skyscrapers. Are trees taller than skyscrapers?
57,trees are shorter than skyscrapers. Are trees shorter than skyscrapers?
57,trees are shorter than skyscrapers. Are skyscrapers taller than trees?
57,trees are shorter than skyscrapers. Are skyscrapers shorter than trees?
57,skyscrapers are taller than trees. Are trees taller than skyscrapers?
57,skyscrapers are taller than trees. Are trees shorter than skyscrapers?
57,skyscrapers are taller than trees. Are skyscrapers taller than trees?
57,skyscrapers are taller than trees. Are skyscrapers shorter than trees?
57,skyscrapers are shorter than trees. Are trees taller than skyscrapers?
57,skyscrapers are shorter than trees. Are trees shorter than skyscrapers?
57,skyscrapers are shorter than trees. Are skyscrapers taller than trees?
57,skyscrapers are shorter than trees. Are skyscrapers shorter than trees?
59,dry is more wet than water. Is dry more wet than water?
59,dry is more wet than water. Is dry less wet than water?
59,dry is more wet than water. Is water more wet than dry?
59,dry is more wet than water. Is water less wet than dry?
59,dry is less wet than water. Is dry more wet than water?
59,dry is less wet than water. Is dry less wet than water?
59,dry is less wet than water. Is water more wet than dry?
59,dry is less wet than water. Is water less wet than dry?
59,water is more wet than dry. Is dry more wet than water?
59,water is more wet than dry. Is dry less wet than water?
59,water is more wet than dry. Is water more wet than dry?
59,water is more wet than dry. Is water less wet than dry?
59,water is less wet than dry. Is dry more wet than water?
59,water is less wet than dry. Is dry less wet than water?
59,water is less wet than dry. Is water more wet than dry?
59,water is less wet than dry. Is water less wet than dry?
61,ice is more hot than fire. Is ice more hot than fire?
61,ice is more hot than fire. Is ice less hot than fire?
61,ice is more hot than fire. Is fire more hot than ice?
61,ice is more hot than fire. Is fire less hot than ice?
61,ice is less hot than fire. Is ice more hot than fire?
61,ice is less hot than fire. Is ice less hot than fire?
61,ice is less hot than fire. Is fire more hot than ice?
61,ice is less hot than fire. Is fire less hot than ice?
61,fire is more hot than ice. Is ice more hot than fire?
61,fire is more hot than ice. Is ice less hot than fire?
61,fire is more hot than ice. Is fire more hot than ice?
61,fire is more hot than ice. Is fire less hot than ice?
61,fire is less hot than ice. Is ice more hot than fire?
61,fire is less hot than ice. Is ice less hot than fire?
61,fire is less hot than ice. Is fire more hot than ice?
61,fire is less hot than ice. Is fire less hot than ice?
63,paper is harder than wood. Is paper harder than wood?
63,paper is harder than wood. Is paper softer than wood?
63,paper is harder than wood. Is wood harder than paper?
63,paper is harder than wood. Is wood softer than paper?
63,paper is softer than wood. Is paper harder than wood?
63,paper is softer than wood. Is paper softer than wood?
63,paper is softer than wood. Is wood harder than paper?
63,paper is softer than wood. Is wood softer than paper?
63,wood is harder than paper. Is paper harder than wood?
63,wood is harder than paper. Is paper softer than wood?
63,wood is harder than paper. Is wood harder than paper?
63,wood is harder than paper. Is wood softer than paper?
63,wood is softer than paper. Is paper harder than wood?
63,wood is softer than paper. Is paper softer than wood?
63,wood is softer than paper. Is wood harder than paper?
63,wood is softer than paper. Is wood softer than paper?
65,daisies are more beautiful than roses. Are daisies more beautiful than roses?
65,daisies are more beautiful than roses. Are daisies less beautiful than roses?
65,daisies are more beautiful than roses. Are roses more beautiful than daisies?
65,daisies are more beautiful than roses. Are roses less beautiful than daisies?
65,daisies are less beautiful than roses. Are daisies more beautiful than roses?
65,daisies are less beautiful than roses. Are daisies less beautiful than roses?
65,daisies are less beautiful than roses. Are roses more beautiful than daisies?
65,daisies are less beautiful than roses. Are roses less beautiful than daisies?
65,roses are more beautiful than daisies. Are daisies more beautiful than roses?
65,roses are more beautiful than daisies. Are daisies less beautiful than roses?
65,roses are more beautiful than daisies. Are roses more beautiful than daisies?
65,roses are more beautiful than daisies. Are roses less beautiful than daisies?
65,roses are less beautiful than daisies. Are daisies more beautiful than roses?
65,roses are less beautiful than daisies. Are daisies less beautiful than roses?
65,roses are less beautiful than daisies. Are roses more beautiful than daisies?
65,roses are less beautiful than daisies. Are roses less beautiful than daisies?
67,snakes are slimier than lizards. Are snakes slimier than lizards?
67,snakes are slimier than lizards. Are snakes drier than lizards?
67,snakes are slimier than lizards. Are lizards slimier than snakes?
67,snakes are slimier than lizards. Are lizards drier than snakes?
67,snakes are drier than lizards. Are snakes slimier than lizards?
67,snakes are drier than lizards. Are snakes drier than lizards?
